INFO 2024-06-07 11:14:06,173 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-07 11:14:06,174 autoreload Waiting for apps ready_event.
DEBUG 2024-06-07 11:14:06,183 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-07 11:14:06,198 autoreload Watching dir C:\laragon\www\python\mysite\myenv\Lib\site-packages\debug_toolbar\templates with glob **/*.
DEBUG 2024-06-07 11:14:06,198 autoreload Watching dir C:\laragon\www\python\mysite\polls\templates with glob **/*.
DEBUG 2024-06-07 11:14:06,198 autoreload Watching dir C:\laragon\www\python\mysite\templates with glob **/*.
DEBUG 2024-06-07 11:14:06,198 autoreload Watching dir C:\laragon\www\python\mysite\members\templates with glob **/*.
DEBUG 2024-06-07 11:14:06,199 autoreload Watching dir C:\laragon\www\python\mysite\locale with glob **/*.mo.
DEBUG 2024-06-07 11:14:06,199 autoreload Watching dir C:\laragon\www\python\mysite\polls\locale with glob **/*.mo.
DEBUG 2024-06-07 11:14:06,199 autoreload Watching dir C:\laragon\www\python\mysite\myenv\Lib\site-packages\debug_toolbar\locale with glob **/*.mo.
DEBUG 2024-06-07 11:14:06,199 autoreload Watching dir C:\laragon\www\python\mysite\members\locale with glob **/*.mo.
DEBUG 2024-06-07 11:14:06,252 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2024-06-07 11:14:06,252 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-06-07 11:14:06,252 utils (0.000) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2024-06-07 11:14:06,252 utils (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\http\cookie.py first seen with mtime 1717478786.2294664
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1717478781.9198856
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1717478786.4012704
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\debug_toolbar\_stubs.py first seen with mtime 1717548420.3047857
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1717478786.4899192
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\laragon\www\python\mysite\myenv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1717478779.3928194
DEBUG 2024-06-07 11:14:06,302 autoreload File C:\Python311\DLLs\select.pyd first seen with mtime 1675760102.0
